CustomerKey,FirstName,LastName,FullName,Gender,ShortPhoneNumn,DateFirstPurchase,CustomerCity
11000,Jon,Yang,Jon Yang,Male,162,1/19/2011,Rockhampton
11001,Eugene,Huang,Eugene Huang,Male,110,1/15/2011,Seaford
11002,Ruben,Torres,Ruben Torres,Male,184,1/7/2011,Hobart
11003,Christy,Zhu,Christy Zhu,Female,162,12/29/2010,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,131,1/23/2011,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Male,151,12/30/2010,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,Female,184,1/24/2011,Matraville
11007,Marco,Mehta,Marco Mehta,Male,126,1/9/2011,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,164,1/25/2011,Bendigo
11009,Shannon,Carlson,Shannon Carlson,Male,110,1/27/2011,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,169,1/14/2011,East Brisbane
11011,Curtis,Lu,Curtis Lu,Male,117,12/30/2010,East Brisbane
11012,Lauren,Walker,Lauren Walker,Female,164,3/16/2013,Bremerton
11013,Ian,Jenkins,Ian Jenkins,Male,185,4/13/2013,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,156,3/23/2013,Redmond
11015,Chloe,Young,Chloe Young,Female,142,1/18/2013,Burbank
11016,Wyatt,Hill,Wyatt Hill,Male,171,2/9/2013,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,195,1/12/2011,Sunbury
11018,Clarence,Rai,Clarence Rai,Male,137,1/17/2011,Bendigo
11019,Luke,Lal,Luke Lal,Male,112,2/12/2013,Langley
11020,Jordan,King,Jordan King,Male,163,12/29/2012,Metchosin
11021,Destiny,Wilson,Destiny Wilson,Female,158,1/23/2013,Beaverton
11022,Ethan,Zhang,Ethan Zhang,Male,185,1/20/2013,Bellingham
11023,Seth,Edwards,Seth Edwards,Male,188,2/17/2013,Bellflower
11024,Russell,Xie,Russell Xie,Male,186,6/27/2013,Concord
11025,Alejandro,Beck,Alejandro Beck,Male,178,1/6/2011,Hawthorne
11026,Harold,Sai,Harold Sai,Male,131,1/23/2011,Goulburn
11027,Jessie,Zhao,Jessie Zhao,Male,184,1/16/2011,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,Female,116,1/26/2011,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,Male,146,1/19/2011,Bendigo
11030,Bethany,Yuan,Bethany Yuan,Female,182,2/5/2011,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,Female,195,2/1/2011,Matraville
11032,Denise,Stone,Denise Stone,Female,169,2/18/2011,Melbourne
11033,Jaime,Nath,Jaime Nath,Male,137,2/15/2011,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,136,2/1/2011,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,Female,177,2/6/2011,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,Female,183,1/22/2013,National City
11037,Chloe,Garcia,Chloe Garcia,Female,112,1/20/2013,Cliffside
11038,Diana,Hernandez,Diana Hernandez,Female,114,2/7/2011,Lavender Bay
11039,Marc,Martin,Marc Martin,Male,183,2/7/2011,Wollongong
11040,Jesse,Murphy,Jesse Murphy,Male,176,4/3/2013,Tacoma
11041,Amanda,Carter,Amanda Carter,Female,145,1/14/2013,Glendale
11042,Megan,Sanchez,Megan Sanchez,Female,199,1/21/2013,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,Male,181,5/8/2013,Glendale
11044,Adam,Flores,Adam Flores,Male,163,2/28/2011,Hervey Bay
11045,Leonard,Nara,Leonard Nara,Male,151,4/10/2013,Matraville
11046,Christine,Yuan,Christine Yuan,Female,113,2/6/2011,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,Female,137,2/3/2011,Geelong
11048,Jeremy,Powell,Jeremy Powell,Male,183,2/10/2011,Sunbury
11049,Carol,Rai,Carol Rai,Female,180,3/9/2013,Chula Vista
11050,Alan,Zheng,Alan Zheng,Male,135,2/20/2011,Hobart
11051,Daniel,Johnson,Daniel Johnson,Male,155,12/29/2013,Caloundra
11052,Heidi,Lopez,Heidi Lopez,Female,168,2/17/2011,Matraville
11053,Ana,Price,Ana Price,Female,113,1/17/2013,San Diego
11054,Deanna,Munoz,Deanna Munoz,Female,192,2/3/2011,Geelong
11055,Gilbert,Raje,Gilbert Raje,Male,129,1/31/2011,East Brisbane
11056,Michele,Nath,Michele Nath,Female,178,2/26/2011,Newcastle
11057,Carl,Andersen,Carl Andersen,Male,181,2/22/2011,Lane Cove
11058,Marc,Diaz,Marc Diaz,Male,149,3/9/2011,Findon
11059,Ashlee,Andersen,Ashlee Andersen,Female,112,2/18/2013,Townsville
11060,Jon,Zhou,Jon Zhou,Male,174,3/19/2011,Warrnambool
11061,Todd,Gao,Todd Gao,Male,191,3/13/2011,Gold Coast
11062,Noah,Powell,Noah Powell,Male,113,1/7/2013,Portland
11063,Angela,Murphy,Angela Murphy,Female,162,1/12/2013,Redmond
11064,Chase,Reed,Chase Reed,Male,184,1/25/2013,Downey
11065,Jessica,Henderson,Jessica Henderson,Female,186,2/10/2013,La Jolla
11066,Grace,Butler,Grace Butler,Female,141,5/31/2013,Lebanon
11067,Caleb,Carter,Caleb Carter,Male,167,8/18/2013,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,Female,177,4/30/2013,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,Female,145,4/17/2011,Gold Coast
11070,Willie,Raji,Willie Raji,Male,151,4/28/2011,Sunbury
11071,Linda,Serrano,Linda Serrano,Female,130,3/1/2013,Hawthorne
11072,Casey,Luo,Casey Luo,Female,125,3/31/2011,St. Leonards
11073,Amy,Ye,Amy Ye,Female,185,3/23/2013,Springwood
11074,Levi,Arun,Levi Arun,Male,127,3/23/2013,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,Female,165,4/28/2011,Bendigo
11076,Blake,Anderson,Blake Anderson,Male,113,4/21/2011,Wollongong
11077,Leah,Ye,Leah Ye,Female,154,4/15/2011,Melton
11078,Gina,Martin,Gina Martin,Female,114,2/15/2013,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,Male,137,3/15/2013,Geelong
11080,Damien,Chander,Damien Chander,Male,111,4/10/2011,Perth
11081,Savannah,Baker,Savannah Baker,Female,117,2/12/2013,Concord
11082,Angela,Butler,Angela Butler,Female,195,1/22/2013,Fremont
11083,Alyssa,Cox,Alyssa Cox,Female,140,1/6/2013,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,Male,172,1/4/2013,Lebanon
11085,Emily,Johnson,Emily Johnson,Female,184,12/6/2013,Newport Beach
11086,Ryan,Brown,Ryan Brown,Male,198,7/2/2013,Santa Monica
11087,Tamara,Liang,Tamara Liang,Female,152,2/25/2013,Chula Vista
11088,Hunter,Davis,Hunter Davis,Male,141,1/13/2013,San Diego
11089,Abigail,Price,Abigail Price,Female,117,12/29/2012,Long Beach
11090,Trevor,Bryant,Trevor Bryant,Male,174,8/7/2011,Los Angeles
11091,Dalton,Perez,Dalton Perez,Male,115,1/29/2013,Haney
11092,Cheryl,Diaz,Cheryl Diaz,Female,192,4/8/2011,East Brisbane
11093,Aimee,He,Aimee He,Female,161,4/7/2011,Wollongong
11094,Cedric,Ma,Cedric Ma,Male,115,4/7/2013,Cranbourne
11095,Chad,Kumar,Chad Kumar,Male,151,4/1/2011,Port Macquarie
11096,Andrés,Anand,Andrés Anand,Male,184,4/11/2011,North Sydney
11097,Edwin,Nara,Edwin Nara,Male,112,4/4/2011,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,Female,157,2/11/2013,Rhodes
11099,Adam,Ross,Adam Ross,Male,186,4/7/2011,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,Female,123,4/16/2011,Cloverdale
11101,Abby,Sai,Abby Sai,Female,174,4/29/2011,Cranbourne
11102,Julia,Nelson,Julia Nelson,Female,124,7/16/2013,Sydney
11103,Cassie,Chande,Cassie Chande,Female,166,4/15/2011,Darlinghurst
11104,Edgar,Sara,Edgar Sara,Male,125,5/4/2011,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,Female,162,5/14/2011,Matraville
11106,Jessie,Liu,Jessie Liu,Male,163,5/18/2011,Warrnambool
11107,Bianca,Lin,Bianca Lin,Female,121,5/1/2011,St. Leonards
